"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","2017/12",101.3452,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/1",101.3955,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/2",101.4197,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/3",101.2997,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/4",101.1734,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/5",101.2187,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/6",101.3308,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/7",101.3911,
"USA","BCI","AMPLITUD","LTRENDIDX","M","2018/8",101.4914,
